commit	metric	n_trades	mc_p	status	description
baseline	0.9016	17	0.2804	keep	baseline ADR 0054 LOCKED (lookback=20, exit=10, atr=2.0)
P5v5_momentum_n_consec_r33	-999.0000	-48.7841	182	-54.95	ok	v5 15M momentum_n_consec random #33 (atr_period=109_atr_stop_mult=1.3186_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r34	-999.0000	-23.2010	44	-9.42	ok	v5 15M momentum_n_consec random #34 (atr_period=163_atr_stop_mult=1.6994_exit_n_reverse=2_n_consec=4)
P5v5_momentum_n_consec_r35	-999.0000	-36.5451	91	-24.81	ok	v5 15M momentum_n_consec random #35 (atr_period=141_atr_stop_mult=2.1789_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r36	-999.0000	-38.5810	106	-31.20	ok	v5 15M momentum_n_consec random #36 (atr_period=69_atr_stop_mult=2.7892_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r37	-999.0000	-49.8691	154	-46.38	ok	v5 15M momentum_n_consec random #37 (atr_period=143_atr_stop_mult=2.9546_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r38	-999.0000	-27.7846	56	-14.92	ok	v5 15M momentum_n_consec random #38 (atr_period=60_atr_stop_mult=2.7483_exit_n_reverse=2_n_consec=4)
P5v5_momentum_n_consec_r39	-999.0000	-37.3899	91	-24.45	ok	v5 15M momentum_n_consec random #39 (atr_period=139_atr_stop_mult=1.9164_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r40	-999.0000	-30.7656	84	-21.94	ok	v5 15M momentum_n_consec random #40 (atr_period=176_atr_stop_mult=2.8497_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r41	-999.0000	-50.6583	179	-56.14	ok	v5 15M momentum_n_consec random #41 (atr_period=100_atr_stop_mult=2.3559_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r42	-999.0000	-34.4373	92	-24.76	ok	v5 15M momentum_n_consec random #42 (atr_period=151_atr_stop_mult=1.2919_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r43	-999.0000	-52.2196	186	-57.41	ok	v5 15M momentum_n_consec random #43 (atr_period=78_atr_stop_mult=2.113_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r44	-999.0000	-53.2595	189	-61.48	ok	v5 15M momentum_n_consec random #44 (atr_period=75_atr_stop_mult=2.5_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r45	-999.0000	-28.9069	55	-15.70	ok	v5 15M momentum_n_consec random #45 (atr_period=71_atr_stop_mult=1.9209_exit_n_reverse=2_n_consec=4)
P5v5_momentum_n_consec_r46	-999.0000	-52.3810	186	-56.81	ok	v5 15M momentum_n_consec random #46 (atr_period=79_atr_stop_mult=1.9927_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r47	-999.0000	-37.7879	100	-28.54	ok	v5 15M momentum_n_consec random #47 (atr_period=111_atr_stop_mult=1.3824_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r48	-999.0000	-51.9375	191	-58.88	ok	v5 15M momentum_n_consec random #48 (atr_period=75_atr_stop_mult=1.6524_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r49	-999.0000	-50.3379	145	-40.50	ok	v5 15M momentum_n_consec random #49 (atr_period=158_atr_stop_mult=3.1763_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r50	-999.0000	-39.4214	105	-31.19	ok	v5 15M momentum_n_consec random #50 (atr_period=87_atr_stop_mult=1.3787_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r51	-999.0000	-50.7745	180	-54.58	ok	v5 15M momentum_n_consec random #51 (atr_period=95_atr_stop_mult=1.9654_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r52	-999.0000	-40.3106	108	-31.14	ok	v5 15M momentum_n_consec random #52 (atr_period=68_atr_stop_mult=2.3266_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r53	-999.0000	-46.5406	165	-49.99	ok	v5 15M momentum_n_consec random #53 (atr_period=135_atr_stop_mult=1.5027_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r54	-999.0000	-38.3189	103	-30.99	ok	v5 15M momentum_n_consec random #54 (atr_period=86_atr_stop_mult=2.9932_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r55	-999.0000	-38.6258	97	-28.15	ok	v5 15M momentum_n_consec random #55 (atr_period=106_atr_stop_mult=3.1265_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r56	-999.0000	-35.7118	91	-24.54	ok	v5 15M momentum_n_consec random #56 (atr_period=137_atr_stop_mult=1.6963_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r57	-999.0000	-31.8392	86	-21.75	ok	v5 15M momentum_n_consec random #57 (atr_period=161_atr_stop_mult=2.5168_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r58	-999.0000	-52.7728	186	-57.20	ok	v5 15M momentum_n_consec random #58 (atr_period=82_atr_stop_mult=1.9835_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r59	-999.0000	-40.5893	102	-28.58	ok	v5 15M momentum_n_consec random #59 (atr_period=88_atr_stop_mult=1.9718_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r60	-999.0000	-55.7380	162	-47.65	ok	v5 15M momentum_n_consec random #60 (atr_period=123_atr_stop_mult=3.1554_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r61	-999.0000	-22.4532	44	-8.99	ok	v5 15M momentum_n_consec random #61 (atr_period=163_atr_stop_mult=2.3368_exit_n_reverse=2_n_consec=4)
P5v5_momentum_n_consec_r62	-999.0000	-39.6861	97	-28.85	ok	v5 15M momentum_n_consec random #62 (atr_period=116_atr_stop_mult=3.1747_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r63	-999.0000	-50.8730	190	-58.53	ok	v5 15M momentum_n_consec random #63 (atr_period=91_atr_stop_mult=1.2797_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r64	-999.0000	-26.0269	51	-12.86	ok	v5 15M momentum_n_consec random #64 (atr_period=94_atr_stop_mult=2.6253_exit_n_reverse=2_n_consec=4)
P5v5_momentum_n_consec_r65	-999.0000	-48.0349	159	-48.12	ok	v5 15M momentum_n_consec random #65 (atr_period=136_atr_stop_mult=2.2753_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r66	-999.0000	-46.9046	168	-48.69	ok	v5 15M momentum_n_consec random #66 (atr_period=121_atr_stop_mult=1.6064_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r67	-999.0000	-35.6161	92	-26.77	ok	v5 15M momentum_n_consec random #67 (atr_period=136_atr_stop_mult=2.8691_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_r68	-999.0000	-41.0653	142	-37.85	ok	v5 15M momentum_n_consec random #68 (atr_period=174_atr_stop_mult=1.6773_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r69	-999.0000	-51.8786	169	-51.14	ok	v5 15M momentum_n_consec random #69 (atr_period=114_atr_stop_mult=2.4177_exit_n_reverse=2_n_consec=2)
P5v5_momentum_n_consec_r70	-999.0000	-40.0989	109	-33.50	ok	v5 15M momentum_n_consec random #70 (atr_period=81_atr_stop_mult=1.2253_exit_n_reverse=2_n_consec=3)
P5v5_momentum_n_consec_HELDOUT_SKIP	0.0000	0.0000	0	0.00	skipped_train_fail	v5 15M momentum_n_consec held-out skipped
P5v5_volume_breakout_g1	-999.0000	-18.5681	6	3.27	ok	v5 15M volume_breakout grid #1 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=40_lookback_n=80_vol_mult=1.2_vol_window=120)
P5v5_volume_breakout_g2	-999.0000	-18.5681	6	3.27	ok	v5 15M volume_breakout grid #2 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=40_lookback_n=80_vol_mult=1.5_vol_window=120)
P5v5_volume_breakout_g3	-999.0000	-18.5681	6	3.27	ok	v5 15M volume_breakout grid #3 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=40_lookback_n=80_vol_mult=2.0_vol_window=120)
P5v5_volume_breakout_g4	-999.0000	-14.4449	5	4.05	ok	v5 15M volume_breakout grid #4 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=40_lookback_n=80_vol_mult=2.5_vol_window=120)
P5v5_volume_breakout_g5	-999.0000	-0.5880	4	4.69	ok	v5 15M volume_breakout grid #5 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=80_lookback_n=160_vol_mult=1.2_vol_window=120)
P5v5_volume_breakout_g6	-999.0000	-0.5880	4	4.69	ok	v5 15M volume_breakout grid #6 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=80_lookback_n=160_vol_mult=1.5_vol_window=120)
P5v5_volume_breakout_g7	-999.0000	-0.5880	4	4.69	ok	v5 15M volume_breakout grid #7 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=80_lookback_n=160_vol_mult=2.0_vol_window=120)
P5v5_volume_breakout_g8	-999.0000	-0.5880	4	4.69	ok	v5 15M volume_breakout grid #8 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=80_lookback_n=160_vol_mult=2.5_vol_window=120)
P5v5_volume_breakout_g9	-999.0000	-2.7952	4	3.13	ok	v5 15M volume_breakout grid #9 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=120_lookback_n=240_vol_mult=1.2_vol_window=120)
P5v5_volume_breakout_g10	-999.0000	-2.7952	4	3.13	ok	v5 15M volume_breakout grid #10 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=120_lookback_n=240_vol_mult=1.5_vol_window=120)
P5v5_volume_breakout_g11	-999.0000	-2.7952	4	3.13	ok	v5 15M volume_breakout grid #11 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=120_lookback_n=240_vol_mult=2.0_vol_window=120)
P5v5_volume_breakout_g12	-999.0000	-2.7952	4	3.13	ok	v5 15M volume_breakout grid #12 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=120_lookback_n=240_vol_mult=2.5_vol_window=120)
P5v5_volume_breakout_g13	-999.0000	-3.3055	2	-1.79	ok	v5 15M volume_breakout grid #13 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=200_lookback_n=400_vol_mult=1.2_vol_window=120)
P5v5_volume_breakout_g14	-999.0000	-3.3055	2	-1.79	ok	v5 15M volume_breakout grid #14 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=200_lookback_n=400_vol_mult=1.5_vol_window=120)
P5v5_volume_breakout_g15	-999.0000	-3.3055	2	-1.79	ok	v5 15M volume_breakout grid #15 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=200_lookback_n=400_vol_mult=2.0_vol_window=120)
P5v5_volume_breakout_g16	-999.0000	-3.3055	2	-1.79	ok	v5 15M volume_breakout grid #16 (atr_period=120_atr_stop_mult=2.0_exit_lookback_n=200_lookback_n=400_vol_mult=2.5_vol_window=120)
P5v5_volume_breakout_r1	-999.0000	5.5549	5	4.53	ok	v5 15M volume_breakout random #1 (atr_period=153_atr_stop_mult=2.6415_exit_lookback_n=26_lookback_n=96_vol_mult=1.3476_vol_window=174)
P5v5_volume_breakout_r2	-999.0000	-15.2202	7	3.30	ok	v5 15M volume_breakout random #2 (atr_period=74_atr_stop_mult=2.9998_exit_lookback_n=49_lookback_n=69_vol_mult=1.5995_vol_window=164)
P5v5_volume_breakout_r3	-999.0000	4.1854	6	4.08	ok	v5 15M volume_breakout random #3 (atr_period=129_atr_stop_mult=1.3541_exit_lookback_n=30_lookback_n=104_vol_mult=1.5748_vol_window=67)
P5v5_volume_breakout_r4	-999.0000	18.8124	5	5.67	ok	v5 15M volume_breakout random #4 (atr_period=78_atr_stop_mult=2.7467_exit_lookback_n=22_lookback_n=80_vol_mult=0.9203_vol_window=163)
P5v5_volume_breakout_r5	-999.0000	-13.7729	11	1.16	ok	v5 15M volume_breakout random #5 (atr_period=89_atr_stop_mult=2.1435_exit_lookback_n=40_lookback_n=58_vol_mult=1.7555_vol_window=65)
P5v5_volume_breakout_r6	-999.0000	7.8883	5	4.53	ok	v5 15M volume_breakout random #6 (atr_period=156_atr_stop_mult=2.628_exit_lookback_n=27_lookback_n=113_vol_mult=0.7624_vol_window=175)
P5v5_volume_breakout_r7	-999.0000	-10.6241	8	5.52	ok	v5 15M volume_breakout random #7 (atr_period=159_atr_stop_mult=2.3431_exit_lookback_n=29_lookback_n=57_vol_mult=1.1039_vol_window=169)
P5v5_volume_breakout_r8	-999.0000	-21.4607	4	3.88	ok	v5 15M volume_breakout random #8 (atr_period=177_atr_stop_mult=3.1082_exit_lookback_n=56_lookback_n=80_vol_mult=1.6852_vol_window=81)
P5v5_volume_breakout_r9	-999.0000	4.1597	5	3.87	ok	v5 15M volume_breakout random #9 (atr_period=70_atr_stop_mult=2.1135_exit_lookback_n=54_lookback_n=110_vol_mult=1.0928_vol_window=152)
P5v5_volume_breakout_r10	-999.0000	-15.9401	10	1.41	ok	v5 15M volume_breakout random #10 (atr_period=115_atr_stop_mult=2.3834_exit_lookback_n=42_lookback_n=56_vol_mult=1.4673_vol_window=96)
P5v5_volume_breakout_r11	-999.0000	5.7971	4	5.13	ok	v5 15M volume_breakout random #11 (atr_period=155_atr_stop_mult=1.5011_exit_lookback_n=51_lookback_n=119_vol_mult=1.3759_vol_window=147)
P5v5_volume_breakout_r12	-999.0000	-4.9919	10	2.48	ok	v5 15M volume_breakout random #12 (atr_period=61_atr_stop_mult=1.87_exit_lookback_n=40_lookback_n=41_vol_mult=1.5522_vol_window=136)
P5v5_volume_breakout_r13	-999.0000	0.2897	6	2.96	ok	v5 15M volume_breakout random #13 (atr_period=88_atr_stop_mult=2.1841_exit_lookback_n=49_lookback_n=107_vol_mult=1.3558_vol_window=72)
P5v5_volume_breakout_r14	-999.0000	-6.7002	5	4.07	ok	v5 15M volume_breakout random #14 (atr_period=87_atr_stop_mult=2.891_exit_lookback_n=25_lookback_n=117_vol_mult=0.7727_vol_window=93)
P5v5_volume_breakout_r15	-999.0000	5.0764	4	5.07	ok	v5 15M volume_breakout random #15 (atr_period=71_atr_stop_mult=1.467_exit_lookback_n=34_lookback_n=96_vol_mult=0.8219_vol_window=176)
P5v5_volume_breakout_r16	-999.0000	-10.2953	9	3.48	ok	v5 15M volume_breakout random #16 (atr_period=88_atr_stop_mult=1.722_exit_lookback_n=42_lookback_n=45_vol_mult=1.8771_vol_window=112)
P5v5_volume_breakout_r17	-999.0000	6.4363	5	4.35	ok	v5 15M volume_breakout random #17 (atr_period=114_atr_stop_mult=1.6672_exit_lookback_n=35_lookback_n=114_vol_mult=1.1115_vol_window=159)
P5v5_volume_breakout_r18	-999.0000	-12.8613	13	0.38	ok	v5 15M volume_breakout random #18 (atr_period=113_atr_stop_mult=1.8281_exit_lookback_n=49_lookback_n=50_vol_mult=0.8468_vol_window=73)
P5v5_volume_breakout_r19	-999.0000	-14.5682	7	3.39	ok	v5 15M volume_breakout random #19 (atr_period=91_atr_stop_mult=1.4398_exit_lookback_n=58_lookback_n=82_vol_mult=1.09_vol_window=84)
P5v5_volume_breakout_r20	-999.0000	2.1786	5	3.05	ok	v5 15M volume_breakout random #20 (atr_period=85_atr_stop_mult=2.9131_exit_lookback_n=32_lookback_n=104_vol_mult=1.444_vol_window=144)
P5v5_volume_breakout_r21	-999.0000	-12.1617	9	5.59	ok	v5 15M volume_breakout random #21 (atr_period=141_atr_stop_mult=1.7203_exit_lookback_n=29_lookback_n=47_vol_mult=1.3362_vol_window=102)
P5v5_volume_breakout_r22	-999.0000	-12.2044	12	0.09	ok	v5 15M volume_breakout random #22 (atr_period=89_atr_stop_mult=2.1241_exit_lookback_n=36_lookback_n=42_vol_mult=1.6177_vol_window=114)
P5v5_volume_breakout_r23	-999.0000	16.9936	9	5.29	ok	v5 15M volume_breakout random #23 (atr_period=83_atr_stop_mult=2.0012_exit_lookback_n=22_lookback_n=49_vol_mult=0.9867_vol_window=153)
P5v5_volume_breakout_r24	-999.0000	-15.4886	5	4.14	ok	v5 15M volume_breakout random #24 (atr_period=67_atr_stop_mult=3.005_exit_lookback_n=30_lookback_n=86_vol_mult=0.7462_vol_window=157)
P5v5_volume_breakout_r25	-999.0000	3.5381	5	4.14	ok	v5 15M volume_breakout random #25 (atr_period=74_atr_stop_mult=3.0846_exit_lookback_n=23_lookback_n=104_vol_mult=1.6907_vol_window=161)
P5v5_volume_breakout_r26	-999.0000	-13.1786	8	3.04	ok	v5 15M volume_breakout random #26 (atr_period=63_atr_stop_mult=2.5664_exit_lookback_n=42_lookback_n=53_vol_mult=1.194_vol_window=158)
P5v5_volume_breakout_r27	-999.0000	-13.7474	9	2.32	ok	v5 15M volume_breakout random #27 (atr_period=77_atr_stop_mult=2.4282_exit_lookback_n=56_lookback_n=68_vol_mult=1.2552_vol_window=92)
P5v5_volume_breakout_r28	-999.0000	1.9987	5	4.02	ok	v5 15M volume_breakout random #28 (atr_period=70_atr_stop_mult=1.966_exit_lookback_n=39_lookback_n=91_vol_mult=1.2948_vol_window=165)
P5v5_volume_breakout_r29	-999.0000	-15.7174	8	2.65	ok	v5 15M volume_breakout random #29 (atr_period=156_atr_stop_mult=2.7897_exit_lookback_n=54_lookback_n=55_vol_mult=1.4769_vol_window=123)
P5v5_volume_breakout_r30	-999.0000	2.6910	5	3.84	ok	v5 15M volume_breakout random #30 (atr_period=169_atr_stop_mult=2.2048_exit_lookback_n=34_lookback_n=102_vol_mult=1.3016_vol_window=125)
P5v5_volume_breakout_r31	-999.0000	27.5727	7	7.05	ok	v5 15M volume_breakout random #31 (atr_period=157_atr_stop_mult=1.7619_exit_lookback_n=21_lookback_n=61_vol_mult=0.7552_vol_window=131)
P5v5_volume_breakout_r32	-999.0000	-21.1703	4	4.23	ok	v5 15M volume_breakout random #32 (atr_period=72_atr_stop_mult=2.5137_exit_lookback_n=50_lookback_n=82_vol_mult=1.8888_vol_window=179)
P5v5_volume_breakout_r33	-999.0000	-12.3796	5	3.71	ok	v5 15M volume_breakout random #33 (atr_period=173_atr_stop_mult=2.3514_exit_lookback_n=51_lookback_n=82_vol_mult=1.6369_vol_window=148)
P5v5_volume_breakout_r34	-999.0000	-13.9910	7	3.48	ok	v5 15M volume_breakout random #34 (atr_period=131_atr_stop_mult=2.8124_exit_lookback_n=53_lookback_n=68_vol_mult=0.9313_vol_window=161)
P5v5_volume_breakout_r35	-999.0000	8.2387	5	4.73	ok	v5 15M volume_breakout random #35 (atr_period=127_atr_stop_mult=2.3262_exit_lookback_n=21_lookback_n=113_vol_mult=1.8571_vol_window=144)
P5v5_volume_breakout_r36	-999.0000	5.9822	4	5.25	ok	v5 15M volume_breakout random #36 (atr_period=81_atr_stop_mult=1.2759_exit_lookback_n=52_lookback_n=106_vol_mult=1.3705_vol_window=176)
P5v5_volume_breakout_r37	-999.0000	-13.5160	9	5.84	ok	v5 15M volume_breakout random #37 (atr_period=170_atr_stop_mult=1.6029_exit_lookback_n=28_lookback_n=58_vol_mult=0.7208_vol_window=123)
P5v5_volume_breakout_r38	-999.0000	11.3456	8	4.48	ok	v5 15M volume_breakout random #38 (atr_period=67_atr_stop_mult=1.4954_exit_lookback_n=27_lookback_n=67_vol_mult=1.7619_vol_window=156)
P5v5_volume_breakout_r39	-999.0000	2.2129	5	2.89	ok	v5 15M volume_breakout random #39 (atr_period=104_atr_stop_mult=3.0838_exit_lookback_n=53_lookback_n=101_vol_mult=1.8727_vol_window=163)
P5v5_volume_breakout_r40	-999.0000	-14.1645	5	4.65	ok	v5 15M volume_breakout random #40 (atr_period=147_atr_stop_mult=2.0737_exit_lookback_n=33_lookback_n=86_vol_mult=1.891_vol_window=98)
P5v5_volume_breakout_r41	-999.0000	1.4178	4	5.29	ok	v5 15M volume_breakout random #41 (atr_period=171_atr_stop_mult=2.774_exit_lookback_n=26_lookback_n=91_vol_mult=1.5523_vol_window=176)
P5v5_volume_breakout_r42	-999.0000	1.9695	7	3.19	ok	v5 15M volume_breakout random #42 (atr_period=95_atr_stop_mult=1.5554_exit_lookback_n=52_lookback_n=93_vol_mult=1.6008_vol_window=105)
P5v5_volume_breakout_r43	-999.0000	8.2696	5	4.80	ok	v5 15M volume_breakout random #43 (atr_period=175_atr_stop_mult=1.2648_exit_lookback_n=57_lookback_n=115_vol_mult=1.9131_vol_window=106)
P5v5_volume_breakout_r44	-999.0000	7.4795	5	4.57	ok	v5 15M volume_breakout random #44 (atr_period=172_atr_stop_mult=1.4813_exit_lookback_n=58_lookback_n=113_vol_mult=1.3987_vol_window=86)
P5v5_volume_breakout_r45	-999.0000	-27.6482	12	-1.72	ok	v5 15M volume_breakout random #45 (atr_period=70_atr_stop_mult=2.6179_exit_lookback_n=58_lookback_n=59_vol_mult=1.7824_vol_window=80)
P5v5_volume_breakout_r46	-999.0000	-3.4133	8	2.86	ok	v5 15M volume_breakout random #46 (atr_period=90_atr_stop_mult=1.4161_exit_lookback_n=30_lookback_n=75_vol_mult=0.8014_vol_window=89)
P5v5_volume_breakout_r47	-999.0000	-2.9682	12	-0.60	ok	v5 15M volume_breakout random #47 (atr_period=109_atr_stop_mult=2.9635_exit_lookback_n=37_lookback_n=43_vol_mult=0.9196_vol_window=110)
P5v5_volume_breakout_r48	-999.0000	20.0950	5	5.76	ok	v5 15M volume_breakout random #48 (atr_period=138_atr_stop_mult=2.5743_exit_lookback_n=24_lookback_n=83_vol_mult=1.7569_vol_window=117)
P5v5_volume_breakout_r49	-999.0000	-17.8346	8	2.88	ok	v5 15M volume_breakout random #49 (atr_period=91_atr_stop_mult=1.4095_exit_lookback_n=51_lookback_n=76_vol_mult=0.7441_vol_window=64)
P5v5_volume_breakout_r50	-999.0000	11.6778	8	4.93	ok	v5 15M volume_breakout random #50 (atr_period=167_atr_stop_mult=1.3862_exit_lookback_n=35_lookback_n=53_vol_mult=1.3765_vol_window=147)
P5v5_volume_breakout_r51	-999.0000	5.8899	5	4.73	ok	v5 15M volume_breakout random #51 (atr_period=112_atr_stop_mult=1.3071_exit_lookback_n=37_lookback_n=96_vol_mult=1.4488_vol_window=138)
P5v5_volume_breakout_r52	-999.0000	25.7827	8	6.47	ok	v5 15M volume_breakout random #52 (atr_period=147_atr_stop_mult=1.7305_exit_lookback_n=27_lookback_n=56_vol_mult=1.5864_vol_window=143)
P5v5_volume_breakout_r53	-999.0000	-6.0694	10	2.69	ok	v5 15M volume_breakout random #53 (atr_period=118_atr_stop_mult=1.309_exit_lookback_n=23_lookback_n=63_vol_mult=1.3796_vol_window=107)
P5v5_volume_breakout_r54	-999.0000	-2.4426	8	3.01	ok	v5 15M volume_breakout random #54 (atr_period=83_atr_stop_mult=1.2515_exit_lookback_n=31_lookback_n=74_vol_mult=1.4403_vol_window=139)
P5v5_volume_breakout_r55	-999.0000	2.7786	5	3.90	ok	v5 15M volume_breakout random #55 (atr_period=154_atr_stop_mult=2.1419_exit_lookback_n=59_lookback_n=91_vol_mult=0.8586_vol_window=116)
P5v5_volume_breakout_r56	-999.0000	-15.3172	11	1.31	ok	v5 15M volume_breakout random #56 (atr_period=104_atr_stop_mult=2.0916_exit_lookback_n=41_lookback_n=47_vol_mult=1.7826_vol_window=82)
P5v5_volume_breakout_r57	-999.0000	8.1847	5	6.87	ok	v5 15M volume_breakout random #57 (atr_period=78_atr_stop_mult=2.5929_exit_lookback_n=30_lookback_n=75_vol_mult=1.3971_vol_window=160)
P5v5_volume_breakout_r58	-999.0000	-13.0392	8	4.14	ok	v5 15M volume_breakout random #58 (atr_period=130_atr_stop_mult=2.3072_exit_lookback_n=33_lookback_n=46_vol_mult=1.8848_vol_window=124)
P5v5_volume_breakout_r59	-999.0000	-4.3127	6	1.99	ok	v5 15M volume_breakout random #59 (atr_period=116_atr_stop_mult=2.9633_exit_lookback_n=36_lookback_n=105_vol_mult=1.7603_vol_window=124)
P5v5_volume_breakout_r60	-999.0000	-11.3239	7	4.29	ok	v5 15M volume_breakout random #60 (atr_period=128_atr_stop_mult=2.2336_exit_lookback_n=35_lookback_n=63_vol_mult=0.7617_vol_window=162)
P5v5_volume_breakout_r61	-999.0000	-36.1621	8	0.08	ok	v5 15M volume_breakout random #61 (atr_period=176_atr_stop_mult=2.8169_exit_lookback_n=48_lookback_n=49_vol_mult=1.9012_vol_window=80)
P5v5_volume_breakout_r62	-999.0000	6.9177	10	6.40	ok	v5 15M volume_breakout random #62 (atr_period=158_atr_stop_mult=1.4958_exit_lookback_n=23_lookback_n=43_vol_mult=0.9623_vol_window=141)
P5v5_volume_breakout_r63	-999.0000	-9.1333	7	4.19	ok	v5 15M volume_breakout random #63 (atr_period=126_atr_stop_mult=2.3041_exit_lookback_n=49_lookback_n=65_vol_mult=0.8244_vol_window=156)
P5v5_volume_breakout_r64	-999.0000	-20.7439	6	2.29	ok	v5 15M volume_breakout random #64 (atr_period=130_atr_stop_mult=2.7634_exit_lookback_n=56_lookback_n=81_vol_mult=1.5605_vol_window=61)
P5v5_volume_breakout_r65	-999.0000	17.9304	6	6.89	ok	v5 15M volume_breakout random #65 (atr_period=172_atr_stop_mult=3.0499_exit_lookback_n=25_lookback_n=73_vol_mult=1.6301_vol_window=130)
P5v5_volume_breakout_r66	-999.0000	3.3736	5	3.47	ok	v5 15M volume_breakout random #66 (atr_period=91_atr_stop_mult=2.5096_exit_lookback_n=54_lookback_n=102_vol_mult=1.7735_vol_window=165)
P5v5_volume_breakout_r67	-999.0000	-3.5708	12	1.49	ok	v5 15M volume_breakout random #67 (atr_period=143_atr_stop_mult=1.2776_exit_lookback_n=31_lookback_n=42_vol_mult=1.4504_vol_window=77)
P5v5_volume_breakout_r68	-999.0000	0.9446	6	4.45	ok	v5 15M volume_breakout random #68 (atr_period=104_atr_stop_mult=1.8757_exit_lookback_n=21_lookback_n=95_vol_mult=1.0423_vol_window=117)
P5v5_volume_breakout_r69	-999.0000	-21.9111	7	2.84	ok	v5 15M volume_breakout random #69 (atr_period=176_atr_stop_mult=1.6559_exit_lookback_n=53_lookback_n=64_vol_mult=1.5418_vol_window=162)
P5v5_volume_breakout_r70	-999.0000	-3.1755	4	4.27	ok	v5 15M volume_breakout random #70 (atr_period=110_atr_stop_mult=2.4911_exit_lookback_n=37_lookback_n=117_vol_mult=1.0433_vol_window=159)
P5v5_volume_breakout_HELDOUT_SKIP	0.0000	0.0000	0	0.00	skipped_train_fail	v5 15M volume_breakout held-out skipped
P5v5_ema_crossover_g1	-999.0000	-28.2920	7	-4.64	ok	v5 15M ema_crossover grid #1 (atr_period=120_atr_stop_mult=1.5_ema_fast=32_ema_slow=84)
P5v5_ema_crossover_g2	-999.0000	-38.6597	7	-4.91	ok	v5 15M ema_crossover grid #2 (atr_period=120_atr_stop_mult=2.0_ema_fast=32_ema_slow=84)
P5v5_ema_crossover_g3	-999.0000	-41.8960	7	-6.62	ok	v5 15M ema_crossover grid #3 (atr_period=120_atr_stop_mult=3.0_ema_fast=32_ema_slow=84)
P5v5_ema_crossover_g4	-999.0000	11.5372	7	1.08	ok	v5 15M ema_crossover grid #4 (atr_period=120_atr_stop_mult=4.0_ema_fast=32_ema_slow=84)
P5v5_ema_crossover_g5	-999.0000	-16.3994	7	-4.52	ok	v5 15M ema_crossover grid #5 (atr_period=120_atr_stop_mult=1.5_ema_fast=48_ema_slow=104)
P5v5_ema_crossover_g6	-999.0000	-21.1605	7	-5.45	ok	v5 15M ema_crossover grid #6 (atr_period=120_atr_stop_mult=2.0_ema_fast=48_ema_slow=104)
